Date,Department,Category,Amount,Description,Type
2025-04-03,Marketing,PR & Communications,3652.23,Executive Comms Coaching,Expense
2025-04-04,Operations,IT Infrastructure,27043.6,AWS Hosting - Monthly,Expense
2025-04-05,Marketing,Events & Sponsorships,3635.93,Roadshow - San Francisco,Expense
2025-04-05,Marketing,Brand & Collateral,3067.89,Print Brochures,Expense
2025-04-05,Finance,Banking & Merchant Fees,5754.24,Merchant Processing - Square,Expense
2025-04-05,Finance,Recruiting & HR,2484.74,LinkedIn Recruiter Seat,Expense
2025-04-05,Marketing,Digital Advertising,4029.68,Google Ads - Brand Awareness,Expense
2025-04-05,Operations,Insurance,3380.52,Directors & Officers Insurance,Expense
2025-04-05,Sales,Sales Commissions,46389.87,Commission Payout - April,Expense
2025-04-06,Operations,Utilities,3043.3,Electric Bill - HQ,Expense
2025-04-06,Operations,Utilities,9485.85,Water & Sewer - HQ,Expense
2025-04-06,Operations,Facilities & Rent,29978.56,Storage Unit Rental,Expense
2025-04-06,Marketing,Digital Advertising,4826.93,Paid Search - Non-Brand,Expense
2025-04-07,Finance,Audit & Compliance,5800.49,Controls Testing - Q2,Expense
2025-04-08,Marketing,Content & Creative,6868.16,Animation Project,Expense
2025-04-08,Marketing,Events & Sponsorships,5873.32,Roadshow - Nashville,Expense
2025-04-09,Marketing,Brand & Collateral,2223.14,Office Signage,Expense
2025-04-09,Marketing,Software & Tools,14294.55,HubSpot License,Expense
2025-04-09,Sales,Service Revenue,170022.01,Consulting Engagement - Meridian Foods,Revenue
2025-04-09,Finance,Software & Tools,1809.67,Adaptive Insights,Expense
2025-04-10,Sales,Software & Subscriptions,6289.32,Gong.io Platform,Expense
2025-04-10,Operations,Insurance,3745.74,Property Insurance - Quarterly,Expense
2025-04-10,Marketing,Content & Creative,10429.9,Copywriting Services,Expense
2025-04-10,Sales,Training & Development,726.03,Coaching Session,Expense
2025-04-10,Marketing,Events & Sponsorships,1244.14,Virtual Event Platform,Expense
2025-04-11,Marketing,Digital Advertising,12177.01,Retargeting Campaign,Expense
2025-04-11,Marketing,PR & Communications,9129.64,Executive Comms Coaching,Expense
2025-04-11,Sales,Client Entertainment,893.62,Client Gift - Oakmont Properties,Expense
2025-04-11,Sales,Client Entertainment,2017.13,Golf Outing,Expense
2025-04-11,Sales,Service Revenue,106006.63,Consulting Engagement - Harbor Media,Revenue
2025-04-12,Sales,Client Entertainment,1062.49,Holiday Gift Basket,Expense
2025-04-12,Marketing,Events & Sponsorships,933.59,Trade Show Booth - Dreamforce,Expense
2025-04-12,Sales,Service Revenue,118022.99,Training Package - Jasper Analytics,Revenue
2025-04-12,Operations,Utilities,2579.0,Natural Gas - Regional East,Expense
2025-04-12,Operations,Facilities & Rent,21309.86,Parking Garage Contract,Expense
2025-04-12,Operations,Facilities & Rent,9801.79,Common Area Charges,Expense
2025-04-12,Finance,Audit & Compliance,2707.71,Risk Assessment Services,Expense
2025-04-13,Finance,Office & Admin,799.78,Reference Materials,Expense
2025-04-13,Finance,Software & Tools,5444.32,Concur Expense Management,Expense
2025-04-13,Finance,Office & Admin,1420.99,Calculator & Equipment,Expense
2025-04-13,Sales,Travel & Entertainment,2758.95,Client Dinner - Denver,Expense
2025-04-13,Sales,Service Revenue,102294.46,Consulting Engagement - Pacific Ventures,Revenue
2025-04-13,Sales,Product Sales,181843.19,Professional Tier - Delta Logistics,Revenue
2025-04-13,Sales,Training & Development,1784.39,Coaching Session,Expense
2025-04-15,Operations,Security Services,821.43,Access Control System,Expense
2025-04-15,Sales,Office Supplies,744.83,Demo Equipment,Expense
2025-04-15,Marketing,Events & Sponsorships,3410.27,Customer Dinner - Nashville,Expense
2025-04-15,Operations,Logistics & Shipping,1089.31,UPS Business Account,Expense
2025-04-15,Finance,Software & Tools,4109.73,FloQast Close Management,Expense
2025-04-15,Finance,Software & Tools,2930.17,Concur Expense Management,Expense
2025-04-16,Finance,Training & Certifications,1304.72,ERP Training Session,Expense
2025-04-16,Finance,Software & Tools,1042.8,Bill.com Payment Platform,Expense
2025-04-16,Sales,Recurring Revenue,40883.82,Platform Access - Northwind Traders,Revenue
2025-04-16,Operations,Security Services,5379.06,Security Guard Contract,Expense
2025-04-16,Marketing,Digital Advertising,27890.2,LinkedIn Ads - Event Promo,Expense
2025-04-16,Operations,Equipment & Maintenance,17364.63,Kitchen Equipment,Expense
2025-04-17,Marketing,PR & Communications,4081.1,Press Release Distribution,Expense
2025-04-17,Finance,Recruiting & HR,1995.45,Job Board Posting - Indeed,Expense
2025-04-17,Finance,Recruiting & HR,1404.96,Background Check Services,Expense
2025-04-17,Sales,Service Revenue,186508.3,Support Retainer - Oakmont Properties,Revenue
2025-04-17,Marketing,Digital Advertising,11829.82,Programmatic Buy - ABM Campaign,Expense
2025-04-17,Marketing,Digital Advertising,9765.8,Google Ads - Content Syndication,Expense
2025-04-18,Operations,Office Supplies & General,3513.25,Breakroom Supplies,Expense
2025-04-19,Sales,Sales Commissions,16150.0,Bonus - Q2 Performance,Expense
2025-04-19,Sales,Recurring Revenue,104436.97,Annual Contract - Vertex Solutions,Revenue
2025-04-20,Finance,Professional Services,8459.74,R&D Tax Credit Study,Expense
2025-04-20,Finance,Office & Admin,1986.06,Calculator & Equipment,Expense
2025-04-20,Operations,Logistics & Shipping,3767.35,Package Room Supplies,Expense
2025-04-21,Sales,Service Revenue,212741.61,Support Retainer - Vertex Solutions,Revenue
2025-04-21,Sales,Software & Subscriptions,3630.86,DocuSign,Expense
2025-04-21,Sales,Recurring Revenue,30300.57,Monthly Subscription - Harbor Media,Revenue
2025-04-21,Sales,Service Revenue,104864.65,Consulting Engagement - Summit Healthcare,Revenue
2025-04-21,Operations,Logistics & Shipping,1562.73,Shipping Software License,Expense
2025-04-21,Operations,Office Supplies & General,1803.47,Water Delivery Service,Expense
2025-04-22,Marketing,Digital Advertising,4719.32,Google Ads - Lead Gen Q2,Expense
2025-04-22,Operations,Logistics & Shipping,2035.25,Courier Services,Expense
2025-04-22,Operations,Equipment & Maintenance,9805.14,HVAC Maintenance,Expense
2025-04-22,Operations,Security Services,1706.34,Access Control System,Expense
2025-04-22,Sales,Product Sales,21678.99,Starter Bundle - Oakmont Properties,Revenue
2025-04-22,Sales,Recurring Revenue,18511.07,Monthly Subscription - Frontier Tech,Revenue
2025-04-22,Sales,Travel & Entertainment,3652.3,Flight - New York,Expense
2025-04-23,Sales,Client Entertainment,1431.32,Event Tickets - Vertex Solutions,Expense
2025-04-23,Sales,Office Supplies,319.97,Sales Collateral Printing,Expense
2025-04-23,Operations,Facilities & Rent,29448.95,Office Lease - Regional Office - East,Expense
2025-04-24,Operations,Utilities,9495.76,Water & Sewer - HQ,Expense
2025-04-24,Operations,Office Supplies & General,1431.02,First Aid Supplies,Expense
2025-04-24,Operations,Security Services,1519.96,Visitor Management System,Expense
2025-04-24,Sales,Travel & Entertainment,1547.04,Uber/Taxi - Phoenix,Expense
2025-04-24,Sales,Training & Development,1914.85,Workshop Fee,Expense
2025-04-25,Sales,Travel & Entertainment,5792.02,Hotel - Miami,Expense
2025-04-25,Operations,Insurance,8426.51,Business Interruption Insurance,Expense
2025-04-25,Operations,Security Services,1572.56,Alarm Monitoring - ADT Business,Expense
2025-04-25,Sales,Office Supplies,856.58,Presentation Materials,Expense
2025-04-25,Sales,Sales Commissions,26921.81,Bonus - Q2 Performance,Expense
2025-04-25,Marketing,Brand & Collateral,4424.04,Office Signage,Expense
2025-04-26,Finance,Training & Certifications,3704.43,Excel Training Workshop,Expense
2025-04-26,Finance,Audit & Compliance,4804.21,Internal Audit Services,Expense
2025-04-27,Marketing,Software & Tools,6630.07,Hootsuite Platform,Expense
2025-04-27,Sales,Sales Commissions,24678.4,SPIF Payout,Expense
2025-04-27,Sales,Travel & Entertainment,2961.95,Client Dinner - San Francisco,Expense
2025-04-27,Operations,Office Supplies & General,8976.94,Paper Products,Expense
2025-04-27,Marketing,Content & Creative,9532.91,Video Production - Social Content,Expense
2025-04-28,Operations,Logistics & Shipping,8275.13,Freight Shipping - UPS Freight,Expense
2025-04-28,Finance,Banking & Merchant Fees,5176.16,Credit Card Processing Fees,Expense
2025-05-01,Marketing,Brand & Collateral,2152.97,Trade Show Banners,Expense
2025-05-01,Finance,Banking & Merchant Fees,5991.44,Merchant Processing - Square,Expense
2025-05-01,Finance,Training & Certifications,402.36,Excel Training Workshop,Expense
2025-05-02,Marketing,PR & Communications,3609.05,Crisis Communications Prep,Expense
2025-05-02,Operations,Logistics & Shipping,1521.02,Freight Shipping - FedEx Freight,Expense
2025-05-02,Operations,Logistics & Shipping,1429.6,Freight Shipping - XPO Logistics,Expense
2025-05-02,Marketing,Brand & Collateral,1625.67,Trade Show Banners,Expense
2025-05-02,Sales,Training & Development,339.18,Workshop Fee,Expense
2025-05-03,Finance,Training & Certifications,480.71,Technical Accounting Training,Expense
2025-05-03,Operations,Office Supplies & General,576.81,First Aid Supplies,Expense
2025-05-03,Operations,Facilities & Rent,23347.45,Office Lease - Satellite Office,Expense
2025-05-04,Marketing,Content & Creative,7575.92,Stock Images License,Expense
2025-05-04,Marketing,Software & Tools,6705.66,6sense Platform,Expense
2025-05-04,Operations,Insurance,2968.18,Directors & Officers Insurance,Expense
2025-05-04,Operations,Office Supplies & General,1369.72,Office Supplies - Staples,Expense
2025-05-05,Finance,Banking & Merchant Fees,5637.19,Lockbox Services,Expense
2025-05-05,Marketing,Content & Creative,9780.55,Copywriting Services,Expense
2025-05-06,Finance,Training & Certifications,859.08,Excel Training Workshop,Expense
2025-05-06,Operations,Equipment & Maintenance,17197.07,AV Equipment - Conference Room,Expense
2025-05-06,Marketing,Digital Advertising,5850.39,Meta Ads - Content Syndication,Expense
2025-05-07,Operations,Facilities & Rent,24474.61,Office Lease - Satellite Office,Expense
2025-05-07,Operations,Insurance,1554.01,Cyber Liability Insurance,Expense
2025-05-07,Finance,Office & Admin,654.44,Department Supplies,Expense
2025-05-07,Operations,Logistics & Shipping,3420.17,Freight Shipping - Old Dominion,Expense
2025-05-08,Marketing,Brand & Collateral,2736.73,Trade Show Banners,Expense
2025-05-08,Sales,Travel & Entertainment,5123.27,Uber/Taxi - Miami,Expense
2025-05-08,Marketing,Digital Advertising,6049.87,YouTube Pre-roll Ads,Expense
2025-05-08,Marketing,PR & Communications,1283.99,Media Monitoring Service,Expense
2025-05-09,Finance,Audit & Compliance,9190.16,External Audit - KPMG,Expense
2025-05-09,Finance,Office & Admin,713.97,Filing & Storage Supplies,Expense
2025-05-09,Marketing,Digital Advertising,3620.77,Retargeting Campaign,Expense
2025-05-09,Marketing,Events & Sponsorships,15952.01,Customer Dinner - Nashville,Expense
2025-05-09,Sales,Sales Commissions,36059.76,Bonus - Q2 Performance,Expense
2025-05-09,Finance,Software & Tools,1919.3,FloQast Close Management,Expense
2025-05-10,Sales,Sales Commissions,44539.93,SPIF Payout,Expense
2025-05-10,Finance,Software & Tools,762.17,Expensify Licenses,Expense
2025-05-10,Marketing,Content & Creative,10983.08,Graphic Design - Social Content,Expense
2025-05-12,Sales,Recurring Revenue,175656.23,Platform Access - Pacific Ventures,Revenue
2025-05-12,Operations,Facilities & Rent,29833.45,Building Maintenance Fee,Expense
2025-05-13,Marketing,Digital Advertising,11111.46,LinkedIn Ads - Content Syndication,Expense
2025-05-13,Sales,Software & Subscriptions,1948.27,DocuSign,Expense
2025-05-14,Marketing,Events & Sponsorships,9297.12,Trade Show Booth - SaaStr Annual,Expense
2025-05-14,Sales,Product Sales,50752.35,Starter Bundle - Vertex Solutions,Revenue
2025-05-14,Sales,Client Entertainment,2249.46,Client Gift - Atlas Manufacturing,Expense
2025-05-15,Marketing,Digital Advertising,6592.62,Retargeting Campaign,Expense
2025-05-15,Finance,Software & Tools,955.92,Avalara Tax Software,Expense
2025-05-15,Finance,Training & Certifications,1412.49,ERP Training Session,Expense
2025-05-15,Operations,Utilities,7490.69,Internet Service - AT&T Fiber,Expense
2025-05-15,Sales,Recurring Revenue,183250.95,Monthly Subscription - Evergreen Retail,Revenue
2025-05-16,Operations,Logistics & Shipping,2241.44,Courier Services,Expense
2025-05-16,Sales,Product Sales,185183.17,Starter Bundle - Lakeside Hotels,Revenue
2025-05-16,Finance,Office & Admin,408.39,Filing & Storage Supplies,Expense
2025-05-16,Finance,Professional Services,11850.03,M&A Due Diligence Support,Expense
2025-05-16,Marketing,Digital Advertising,5023.2,Paid Search - Brand Terms,Expense
2025-05-16,Marketing,Brand & Collateral,4289.0,Trade Show Banners,Expense
2025-05-17,Sales,Recurring Revenue,-224436.76,API Usage - Vertex Solutions,Revenue
2025-05-17,Finance,Software & Tools,5739.01,Concur Expense Management,Expense
2025-05-17,Finance,Office & Admin,1144.8,Filing & Storage Supplies,Expense
2025-05-17,Marketing,Software & Tools,7808.27,Canva Enterprise,Expense
2025-05-17,Sales,Travel & Entertainment,10663.76,Conference Travel,Expense
2025-05-17,Marketing,Content & Creative,3182.88,Freelance Writer - Landing Pages,Expense
2025-05-17,Operations,Facilities & Rent,24390.0,Parking Garage Contract,Expense
2025-05-17,Operations,IT Infrastructure,3556.25,Azure Services - Monthly,Expense
2025-05-18,Finance,Software & Tools,1915.04,Bill.com Payment Platform,Expense
2025-05-18,Operations,Office Supplies & General,1743.0,Janitorial Service Contract,Expense
2025-05-18,Marketing,Digital Advertising,4846.22,Google Ads - Product Launch,Expense
2025-05-18,Sales,Travel & Entertainment,4185.72,Uber/Taxi - Denver,Expense
2025-05-19,Finance,Recruiting & HR,2267.22,Onboarding Materials,Expense
2025-05-19,Sales,Product Sales,40067.88,Growth Package - Pacific Ventures,Revenue
2025-05-19,Operations,Equipment & Maintenance,2996.27,Standing Desks Order,Expense
2025-05-19,Sales,Office Supplies,1337.03,Sales Collateral Printing,Expense
2025-05-19,Sales,Training & Development,534.91,Coaching Session,Expense
2025-05-19,Operations,IT Infrastructure,7290.41,Microsoft 365 Licenses,Expense
2025-05-19,Operations,Office Supplies & General,6266.2,Coffee Service - Monthly,Expense
2025-05-19,Marketing,PR & Communications,3398.98,PR Agency Retainer - Ketchum,Expense
2025-05-19,Operations,Office Supplies & General,638.77,First Aid Supplies,Expense
2025-05-19,Sales,Product Sales,125266.79,Growth Package - Jasper Analytics,Revenue
2025-05-19,Sales,Product Sales,171581.27,Professional Tier - Evergreen Retail,Revenue
2025-05-20,Finance,Recruiting & HR,2188.86,Recruiting Fee - AP Specialist,Expense
2025-05-20,Sales,Training & Development,693.4,Workshop Fee,Expense
2025-05-20,Sales,Product Sales,139853.39,Starter Bundle - Summit Healthcare,Revenue
2025-05-20,Marketing,Content & Creative,4223.95,Animation Project,Expense
2025-05-20,Sales,Software & Subscriptions,2119.1,Outreach License,Expense
2025-05-20,Sales,Training & Development,731.82,Coaching Session,Expense
2025-05-21,Sales,Software & Subscriptions,6012.37,Gong.io Platform,Expense
2025-05-21,Sales,Travel & Entertainment,9222.9,Flight - Miami,Expense
2025-05-21,Operations,IT Infrastructure,18512.02,Azure Services - Monthly,Expense
2025-05-21,Finance,Software & Tools,5253.28,Coupa Procurement,Expense
2025-05-21,Operations,Security Services,4940.18,Access Control System,Expense
2025-05-22,Operations,Equipment & Maintenance,7593.75,Copier Lease - Canon,Expense
2025-05-22,Operations,Insurance,5053.26,Workers Compensation,Expense
2025-05-22,Sales,Software & Subscriptions,2281.77,DocuSign,Expense
2025-05-23,Operations,Utilities,2724.42,Electric Bill - HQ,Expense
2025-05-23,Marketing,PR & Communications,3031.93,Media Monitoring Service,Expense
2025-05-23,Sales,Office Supplies,659.11,Sales Collateral Printing,Expense
2025-05-23,Operations,Insurance,5415.12,Directors & Officers Insurance,Expense
2025-05-24,Operations,Security Services,7372.84,Alarm Monitoring - ADT Business,Expense
2025-05-24,Operations,Insurance,2042.91,Property Insurance - Quarterly,Expense
2025-05-24,Marketing,Software & Tools,2575.4,6sense Platform,Expense
2025-05-24,Sales,Client Entertainment,962.21,Client Gift - Keystone Energy,Expense
2025-05-24,Operations,Logistics & Shipping,5131.33,Package Room Supplies,Expense
2025-05-25,Operations,Equipment & Maintenance,6797.31,Computer Hardware - Chairs,Expense
2025-05-25,Operations,IT Infrastructure,9673.93,Backup & Recovery Services,Expense
2025-05-25,Operations,Office Supplies & General,2071.9,Breakroom Supplies,Expense
2025-05-25,Sales,Software & Subscriptions,720.85,Gong.io Platform,Expense
2025-05-25,Sales,Service Revenue,35246.0,Support Retainer - Evergreen Retail,Revenue
2025-05-26,Marketing,Digital Advertising,25977.09,LinkedIn Ads - Webinar Promo,Expense
2025-05-26,Sales,Sales Commissions,33848.19,Accelerator Bonus,Expense
2025-05-26,Sales,Product Sales,429367.67,Starter Bundle - Jasper Analytics,Revenue
2025-05-26,Sales,Service Revenue,241023.68,Implementation Services - Delta Logistics,Revenue
2025-05-26,Operations,IT Infrastructure,5772.46,Cisco Network Equipment,Expense
2025-05-27,Marketing,Events & Sponsorships,8879.93,Customer Dinner - Austin,Expense
2025-05-27,Marketing,Events & Sponsorships,3677.12,Webinar Platform Hosting,Expense
2025-05-27,Marketing,PR & Communications,2311.75,Press Release Distribution,Expense
2025-05-27,Operations,Utilities,1803.99,Internet Service - Comcast Business,Expense
2025-05-27,Operations,Utilities,2871.39,Internet Service - Verizon Enterprise,Expense
2025-05-27,Operations,Utilities,1900.55,Internet Service - Comcast Business,Expense
2025-05-27,Operations,Utilities,6428.42,Water & Sewer - Regional West,Expense
2025-05-28,Finance,Audit & Compliance,3785.99,Risk Assessment Services,Expense
2025-05-28,Sales,Client Entertainment,1718.73,Client Gift - Atlas Manufacturing,Expense
2025-05-28,Operations,Utilities,1823.87,Waste Management,Expense
2025-06-01,Operations,Insurance,4670.69,Cyber Liability Insurance,Expense
2025-06-01,Operations,Utilities,2108.9,Natural Gas - HQ,Expense
2025-06-01,Operations,Office Supplies & General,2516.05,Paper Products,Expense
2025-06-01,Finance,Software & Tools,1860.45,Expensify Licenses,Expense
2025-06-01,Sales,Sales Commissions,22015.43,Commission Payout - June,Expense
2025-06-01,Operations,Logistics & Shipping,2227.53,USPS Postage Meter,Expense
2025-06-02,Operations,Security Services,8805.71,Visitor Management System,Expense
2025-06-02,Operations,Equipment & Maintenance,3547.75,Computer Hardware - Keyboards/Mice,Expense
2025-06-02,Marketing,Events & Sponsorships,10958.67,Virtual Event Platform,Expense
2025-06-02,Sales,Training & Development,1800.39,Coaching Session,Expense
2025-06-03,Operations,Office Supplies & General,5685.4,Water Delivery Service,Expense
2025-06-03,Operations,Utilities,7552.42,Electric Bill - Regional West,Expense
2025-06-03,Operations,Logistics & Shipping,895.82,Freight Shipping - FedEx Freight,Expense
2025-06-03,Operations,Logistics & Shipping,6753.03,Freight Shipping - Old Dominion,Expense
2025-06-03,Operations,Facilities & Rent,22607.5,Storage Unit Rental,Expense
2025-06-03,Operations,Security Services,2853.89,Badge System License,Expense
2025-06-04,Operations,Utilities,6661.24,Water & Sewer - Regional East,Expense
2025-06-04,Finance,Recruiting & HR,2757.52,Recruiting Fee - Senior Accountant,Expense
2025-06-04,Operations,Equipment & Maintenance,5761.19,Monitor Refresh Program,Expense
2025-06-04,Sales,Software & Subscriptions,3971.43,DocuSign,Expense
2025-06-05,Operations,Office Supplies & General,6746.84,Paper Products,Expense
2025-06-06,Finance,Software & Tools,2338.23,Workday Subscription,Expense
2025-06-06,Operations,Logistics & Shipping,1210.69,Freight Shipping - UPS Freight,Expense
2025-06-06,Operations,Facilities & Rent,4625.39,Property Management Fee,Expense
2025-06-06,Operations,Equipment & Maintenance,8303.81,Standing Desks Order,Expense
2025-06-06,Operations,IT Infrastructure,10162.82,Cisco Network Equipment,Expense
2025-06-07,Finance,Recruiting & HR,1484.61,LinkedIn Recruiter Seat,Expense
2025-06-08,Sales,Office Supplies,221.71,Business Cards,Expense
2025-06-08,Marketing,Events & Sponsorships,3260.97,Roadshow - Las Vegas,Expense
2025-06-08,Sales,Service Revenue,65988.22,Consulting Engagement - Pacific Ventures,Revenue
2025-06-08,Operations,Insurance,3041.28,Workers Compensation,Expense
2025-06-08,Finance,Office & Admin,846.23,Filing & Storage Supplies,Expense
2025-06-09,Marketing,Content & Creative,16580.35,Graphic Design - Case Study,Expense
2025-06-09,Finance,Audit & Compliance,18398.68,Controls Testing - Q2,Expense
2025-06-10,Marketing,Digital Advertising,4105.88,YouTube Pre-roll Ads,Expense
2025-06-10,Sales,Travel & Entertainment,2833.06,Client Dinner - Miami,Expense
2025-06-10,Marketing,Brand & Collateral,3697.64,Trade Show Banners,Expense
2025-06-10,Marketing,Software & Tools,13690.94,Vidyard License,Expense
2025-06-10,Finance,Recruiting & HR,879.48,Background Check Services,Expense
2025-06-11,Sales,Recurring Revenue,848721.24,Platform Access - Atlas Manufacturing,Revenue
2025-06-11,Sales,Product Sales,134581.88,Starter Bundle - Evergreen Retail,Revenue
2025-06-11,Finance,Professional Services,7319.64,Accounting Policy Consultation,Expense
2025-06-11,Finance,Software & Tools,10101.44,BlackLine Reconciliation,Expense
2025-06-11,Operations,Facilities & Rent,18605.29,Coworking Space - Regional Office - West,Expense
2025-06-12,Operations,Equipment & Maintenance,5778.66,HVAC Maintenance,Expense
2025-06-12,Operations,Utilities,640.51,Natural Gas - Regional West,Expense
2025-06-12,Sales,Travel & Entertainment,3474.66,Client Dinner - New York,Expense
2025-06-12,Finance,Banking & Merchant Fees,2517.68,Credit Card Processing Fees,Expense
2025-06-12,Sales,Software & Subscriptions,1178.39,Outreach License,Expense
2025-06-12,Marketing,PR & Communications,520.21,Media Monitoring Service,Expense
2025-06-13,Sales,Training & Development,974.94,Conference Registration,Expense
2025-06-13,Finance,Office & Admin,881.18,Team Lunch - Month End Close,Expense
2025-06-13,Finance,Training & Certifications,1112.51,ERP Training Session,Expense
2025-06-13,Marketing,Digital Advertising,24876.39,Paid Search - Brand Terms,Expense
2025-06-14,Marketing,PR & Communications,1641.44,Press Release Distribution,Expense
2025-06-14,Sales,Client Entertainment,821.99,Thank You Gift,Expense
2025-06-15,Marketing,Digital Advertising,7902.66,YouTube Pre-roll Ads,Expense
2025-06-15,Finance,Software & Tools,872.25,Coupa Procurement,Expense
2025-06-15,Finance,Recruiting & HR,2843.48,Job Board Posting - Indeed,Expense
2025-06-16,Sales,Training & Development,1693.5,Workshop Fee,Expense
2025-06-16,Finance,Software & Tools,3701.51,NetSuite License - Monthly,Expense
2025-06-16,Finance,Banking & Merchant Fees,7803.25,ACH Processing Fees,Expense
2025-06-17,Marketing,PR & Communications,3777.05,Press Release Distribution,Expense
2025-06-17,Operations,IT Infrastructure,8218.44,Microsoft 365 Licenses,Expense
2025-06-17,Finance,Office & Admin,2353.77,Subscription - WSJ,Expense
2025-06-18,Sales,Client Entertainment,846.73,Client Gift - Lakeside Hotels,Expense
2025-06-18,Sales,Travel & Entertainment,5437.14,Client Dinner - Phoenix,Expense
2025-06-18,Operations,IT Infrastructure,22495.17,AWS Hosting - Monthly,Expense
2025-06-18,Finance,Office & Admin,557.91,Team Lunch - Month End Close,Expense
2025-06-19,Operations,Utilities,2555.41,Electric Bill - Regional East,Expense
2025-06-19,Sales,Travel & Entertainment,4447.72,Client Dinner - Dallas,Expense
2025-06-20,Marketing,Events & Sponsorships,10957.92,Webinar Platform Hosting,Expense
2025-06-20,Marketing,Brand & Collateral,704.15,Business Cards Reorder,Expense
2025-06-21,Sales,Training & Development,1333.39,Conference Registration,Expense
2025-06-21,Operations,Insurance,3484.29,Workers Compensation,Expense
2025-06-21,Marketing,Digital Advertising,2742.94,Retargeting Campaign,Expense
2025-06-21,Operations,Logistics & Shipping,2615.55,Package Room Supplies,Expense
2025-06-22,Operations,Facilities & Rent,44234.44,Storage Unit Rental,Expense
2025-06-22,Marketing,Content & Creative,12809.43,Agency Retainer - PixelWorks,Expense
2025-06-22,Marketing,Brand & Collateral,2876.6,Brand Guidelines Update,Expense
2025-06-22,Marketing,Digital Advertising,22405.74,Display Network - ABM Campaign,Expense
2025-06-23,Sales,Service Revenue,40977.67,Training Package - Oakmont Properties,Revenue
2025-06-23,Sales,Software & Subscriptions,2770.61,DocuSign,Expense
2025-06-23,Finance,Training & Certifications,3120.58,ERP Training Session,Expense
2025-06-23,Marketing,Content & Creative,6665.29,Video Production - Product Video,Expense
2025-06-23,Sales,Service Revenue,341949.75,Support Retainer - Atlas Manufacturing,Revenue
2025-06-24,Marketing,Digital Advertising,11439.23,Retargeting Campaign,Expense
2025-06-24,Marketing,Digital Advertising,2764.18,Paid Search - Brand Terms,Expense
2025-06-24,Marketing,Digital Advertising,2029.09,Google Ads - Product Launch,Expense
2025-06-24,Sales,Client Entertainment,810.39,Event Tickets - Northwind Traders,Expense
2025-06-24,Sales,Sales Commissions,37940.46,SPIF Payout,Expense
2025-06-24,Sales,Service Revenue,23732.59,Support Retainer - Evergreen Retail,Revenue
2025-06-24,Sales,Client Entertainment,971.76,Client Gift - Harbor Media,Expense
2025-06-24,Finance,Professional Services,3433.12,Transfer Pricing Study,Expense
2025-06-24,Finance,Professional Services,6236.54,Tax Advisory - Moss Adams,Expense
2025-06-25,Operations,Insurance,11046.94,General Liability Insurance,Expense
2025-06-25,Operations,Office Supplies & General,2816.16,Janitorial Service Contract,Expense
2025-06-25,Sales,Product Sales,143804.71,Starter Bundle - Pacific Ventures,Revenue
2025-06-25,Marketing,PR & Communications,2670.47,Media Monitoring Service,Expense
2025-06-25,Sales,Client Entertainment,1060.09,Client Gift - Pinnacle Industries,Expense
2025-06-25,Marketing,PR & Communications,1554.29,PR Agency Retainer - Weber Shandwick,Expense
2025-06-26,Sales,Office Supplies,624.02,Demo Equipment,Expense
2025-06-26,Sales,Sales Commissions,50672.44,Accelerator Bonus,Expense
2025-06-26,Operations,Utilities,991.88,Phone System - Monthly,Expense
2025-06-26,Operations,Equipment & Maintenance,8032.31,Computer Hardware - Desks,Expense
2025-06-27,Marketing,Software & Tools,8909.36,Marketo Subscription,Expense
2025-06-27,Sales,Office Supplies,834.46,Business Cards,Expense
2025-06-27,Sales,Software & Subscriptions,2659.67,Gong.io Platform,Expense
2025-06-27,Sales,Travel & Entertainment,4986.08,Uber/Taxi - Dallas,Expense
2025-06-28,Operations,Utilities,996.17,Water & Sewer - HQ,Expense
2025-06-28,Operations,IT Infrastructure,18768.87,Zoom Enterprise License,Expense
2025-06-28,Sales,Service Revenue,122817.26,Support Retainer - Vertex Solutions,Revenue
2025-07-01,Marketing,PR & Communications,2167.97,Crisis Communications Prep,Expense
2025-07-01,Finance,Software & Tools,8097.09,Expensify Licenses,Expense
2025-07-01,Marketing,Digital Advertising,5009.61,Display Network - ABM Campaign,Expense
2025-07-02,Operations,Equipment & Maintenance,1360.26,Elevator Service Contract,Expense
2025-07-02,Finance,Recruiting & HR,2806.43,LinkedIn Recruiter Seat,Expense
2025-07-02,Finance,Training & Certifications,1339.42,ERP Training Session,Expense
2025-07-02,Operations,Logistics & Shipping,4022.67,Shipping Software License,Expense
2025-07-02,Operations,Office Supplies & General,2414.18,Office Supplies - Amazon Business,Expense
2025-07-02,Operations,Utilities,3502.2,Internet Service - AT&T Fiber,Expense
2025-07-03,Marketing,Digital Advertising,7792.57,Meta Ads - Webinar Promo,Expense
2025-07-03,Operations,Logistics & Shipping,2142.23,USPS Postage Meter,Expense
2025-07-03,Operations,Office Supplies & General,2075.37,Cleaning Supplies,Expense
2025-07-03,Finance,Office & Admin,408.51,Subscription - WSJ,Expense
2025-07-04,Operations,Office Supplies & General,627.24,Cleaning Supplies,Expense
2025-07-04,Marketing,Events & Sponsorships,10942.07,Speaker Fee - B2B Sales Con,Expense
2025-07-04,Operations,Utilities,3421.51,Natural Gas - HQ,Expense
2025-07-04,Finance,Software & Tools,3760.87,FloQast Close Management,Expense
2025-07-05,Finance,Software & Tools,3464.09,Adaptive Insights,Expense
